sales_employee_id,sales_employee_name,education_level,marital_status,years_experience
1,Trần Anh Phúc,Đại học,Đã kết hôn,9
2,Phạm Văn Mai,Đại học,Đã kết hôn,20
3,Vũ Thị Trang,Sau đại học,Độc thân,10
4,Đỗ Thanh Lan,Cao đẳng,Đã kết hôn,17
5,Trần Gia Uyên,Đại học,Đã kết hôn,2
6,Lê Anh Quân,Sau đại học,Đã kết hôn,8
7,Bùi Anh Sơn,Trung cấp,Đã kết hôn,4
8,Võ Thị Quân,Sau đại học,Đã kết hôn,14
9,Phan Minh Vy,Cao đẳng,Đã kết hôn,8
10,Phan Thị Phúc,Đại học,Độc thân,10
11,Dương Quốc Dũng,Cao đẳng,Đã kết hôn,17
12,Đỗ Ngọc Lan,Cao đẳng,Độc thân,17
13,Phạm Thanh Oanh,Trung cấp,Độc thân,3
14,Đỗ Anh Sơn,Đại học,Đã kết hôn,14
15,Võ Quốc Mai,Trung cấp,Độc thân,12
16,Phan Thanh Phúc,Đại học,Đã kết hôn,10
17,Võ Thanh Nam,Cao đẳng,Đã kết hôn,12
18,Đặng Văn Hùng,Đại học,Độc thân,9
19,Dương Ngọc An,Cao đẳng,Độc thân,5
20,Ngô Hữu Lan,Đại học,Đã kết hôn,14
21,Dương Thanh Lan,Cao đẳng,Đã kết hôn,9
22,Huỳnh Văn Cường,Đại học,Đã kết hôn,2
23,Bùi Thị Vy,Đại học,Độc thân,11
24,Vũ Quốc Dũng,Đại học,Độc thân,8
25,Đặng Minh Yến,Sau đại học,Độc thân,2
26,Huỳnh Đức Linh,Sau đại học,Độc thân,14
27,Phạm Anh Hà,Cao đẳng,Đã kết hôn,15
28,Trần Văn Lan,Cao đẳng,Đã kết hôn,19
29,Bùi Minh Trang,Sau đại học,Độc thân,12
30,Nguyễn Anh Linh,Đại học,Đã kết hôn,15
31,Lê Gia Bình,Đại học,Độc thân,13
32,Đỗ Văn Dũng,Trung cấp,Độc thân,10
33,Bùi Thị Dũng,Sau đại học,Độc thân,12
34,Dương Gia Lan,Trung cấp,Đã kết hôn,7
35,Lê Đức Lan,Trung cấp,Đã kết hôn,10
36,Hoàng Quốc Phúc,Đại học,Đã kết hôn,10
37,Võ Quốc Trang,Đại học,Độc thân,6
38,Hồ Quốc Hà,Sau đại học,Đã kết hôn,1
39,Võ Thị Hùng,Đại học,Độc thân,12
40,Trần Hữu Giang,Đại học,Đã kết hôn,14
41,Hoàng Thị Oanh,Trung cấp,Độc thân,19
42,Lê Gia Mai,Đại học,Đã kết hôn,8
43,Dương Minh Giang,Đại học,Độc thân,20
44,Ngô Hữu Yến,Trung cấp,Độc thân,19
45,Hoàng Quốc Yến,Đại học,Đã kết hôn,20
46,Hồ Ngọc Giang,Cao đẳng,Đã kết hôn,18
47,Nguyễn Anh Hùng,Trung cấp,Độc thân,14
48,Đỗ Anh Khánh,Cao đẳng,Đã kết hôn,6
49,Nguyễn Thị Bình,Cao đẳng,Độc thân,17
50,Huỳnh Gia Quân,Cao đẳng,Độc thân,18
51,Dương Anh Hùng,Trung cấp,Đã kết hôn,20
52,Dương Văn Dũng,Đại học,Độc thân,5
