shipper_id,shipper_name,shipper_phone,shipper_company,shipper_gender,shipper_age,shipper_education,shipper_experience_years,shipper_marital_status,shipper_vehicle,join_date,shipper_rating,working_shift,location_id
SHP00001,Bùi Văn Long,991476209,Viettel Post,Male,27,Bachelor,7,Married,Truck,2026-03-17,5.0,Evening,20
SHP00002,Trần Anh Khánh,959297982,J&T Express,Male,41,Bachelor,2,Married,Van,2025-01-29,4.9,Afternoon,22
SHP00003,Hoàng Thị Khánh,927142576,GHN,Male,30,High School,10,Single,Motorbike,2019-11-13,4.8,Evening,68
SHP00004,Trần Đức Vy,971617475,Viettel Post,Female,42,College,8,Married,Truck,2025-12-22,5.0,Evening,14
SHP00005,Trần Minh Cường,979196342,BEST Express,Male,31,College,10,Married,Truck,2019-12-19,4.6,Morning,2
SHP00006,Võ Thanh Nam,951235544,J&T Express,Female,41,Bachelor,9,Married,Van,2024-02-02,4.7,Afternoon,10
SHP00007,Hoàng Anh Hùng,987597617,BEST Express,Female,34,High School,6,Single,Truck,2024-06-06,4.4,Afternoon,49
SHP00008,Phạm Thanh Trang,914419500,BEST Express,Female,34,Bachelor,5,Married,Truck,2022-03-11,4.7,Afternoon,44
SHP00009,Nguyễn Thanh Bình,909770946,BEST Express,Female,53,College,12,Married,Truck,2022-10-06,4.3,Evening,50
SHP00010,Bùi Đức Bình,921691981,Ahamove,Male,31,Bachelor,8,Single,Motorbike,2022-08-10,4.5,Evening,74
SHP00011,Võ Thị Hùng,940850445,J&T Express,Female,43,High School,5,Single,Van,2023-03-23,4.6,Afternoon,52
SHP00012,Nguyễn Thị Bình,972210652,GHTK,Female,49,Bachelor,6,Single,Motorbike,2023-10-01,4.7,Morning,42
SHP00013,Lê Anh Hà,984678290,BEST Express,Female,39,College,10,Single,Truck,2025-10-28,4.2,Morning,28
SHP00014,Lê Gia Vy,971290529,J&T Express,Male,50,Bachelor,8,Single,Van,2018-02-10,4.8,Evening,23
SHP00015,Bùi Văn Hùng,946414069,Viettel Post,Female,48,Bachelor,1,Single,Truck,2024-12-22,4.3,Afternoon,53
SHP00016,Bùi Văn Trang,926827357,Viettel Post,Male,55,High School,6,Married,Truck,2020-01-05,4.9,Afternoon,12
SHP00017,Bùi Thị Hùng,908818611,GHN,Female,51,College,11,Married,Motorbike,2025-08-24,5.0,Afternoon,11
SHP00018,Lê Gia Phong,902541877,GHN,Female,52,College,7,Single,Motorbike,2020-08-27,4.3,Afternoon,60
SHP00019,Đặng Văn Nam,991210929,GHN,Female,46,Bachelor,2,Single,Motorbike,2023-11-03,4.8,Evening,25
SHP00020,Hoàng Đức Giang,903070385,Ninja Van,Female,53,High School,6,Married,Van,2025-03-30,5.0,Afternoon,21
SHP00021,Lê Quốc Trang,960718218,GHN,Female,48,Bachelor,12,Married,Motorbike,2023-12-12,4.3,Morning,33
SHP00022,Lê Thanh Nam,988804431,Ahamove,Male,54,Bachelor,7,Single,Motorbike,2018-06-29,4.8,Morning,41
SHP00023,Bùi Văn Hà,928729869,Shopee Express,Male,36,College,6,Single,Motorbike,2023-11-06,4.6,Evening,58
SHP00024,Hoàng Thị Nam,993822938,Ninja Van,Female,55,High School,3,Married,Van,2023-07-11,4.5,Evening,35
SHP00025,Trần Đức Cường,922791841,GHTK,Male,33,High School,10,Single,Motorbike,2021-05-19,4.6,Evening,13
SHP00026,Nguyễn Thanh Hùng,902981241,Ninja Van,Male,37,High School,11,Single,Van,2025-11-16,4.3,Afternoon,44
SHP00027,Hoàng Thị Giang,902650261,Ninja Van,Female,47,High School,9,Married,Van,2018-02-04,4.4,Evening,62
SHP00028,Hoàng Đức Quân,983104398,GHTK,Male,29,College,8,Single,Motorbike,2023-06-05,4.6,Afternoon,40
SHP00029,Võ Quốc Hùng,938481552,Viettel Post,Male,36,College,8,Single,Truck,2023-03-28,4.3,Morning,6
SHP00030,Hoàng Văn Trang,956294981,Viettel Post,Male,46,High School,4,Single,Truck,2019-04-11,4.2,Morning,66
SHP00031,Lê Thanh Nam,956649092,Viettel Post,Female,53,Bachelor,7,Single,Truck,2021-11-19,4.4,Afternoon,15
